  17.54286,    712,    879,    1490,    1504    
  18.20000,    714,    882,    1492,    1506    
  17.42857,    715,    884,    1494,    1509    
  16.54286,    716,    886,    1497,    1512    
  15.34286,    715,    886,    1501,    1516    
  14.88571,    716,    888,    1503,    1519    
  14.91429,    718,    890,    1505,    1521    
  14.54286,    720,    894,    1509,    1524    
  12.88571,    724,    898,    1510,    1525    
  10.91429,    726,    900,    1507,    1522    
  12.00000,    727,    901,    1504,    1520    
  10.31429,    727,    900,    1504,    1519    
  8.54286,    726,    900,    1503,    1519    
  5.91429,    725,    900,    1504,    1520    
  -1.60000,    725,    899,    1505,    1521    
  -8.08571,    723,    897,    1504,    1520    
  -8.60000,    722,    895,    1503,    1518    
  -10.14286,    720,    893,    1502,    1517    
  -13.71429,    717,    888,    1502,    1517    
  -16.45714,    714,    883,    1502,    1517    
  -16.60000,    711,    880,    1501,    1515    
  -17.25714,    709,    876,    1498,    1512    
  -17.68572,    707,    873,    1495,    1510    
  -17.71429,    705,    869,    1493,    1507    
  -18.17143,    703,    867,    1490,    1504    
  -17.17143,    702,    863,    1488,    1502    
  -17.82857,    700,    861,    1486,    1500    
  -18.57143,    699,    859,    1484,    1497    
  -17.65714,    697,    857,    1481,    1494    
  -17.37143,    697,    854,    1476,    1490    
  -17.31429,    696,    852,    1474,    1487    
  -17.37143,    694,    850,    1471,    1484    
  -17.77143,    694,    849,    1469,    1482    
  -17.00000,    693,    847,    1468,    1481    
  -16.34286,    692,    846,    1467,    1480    
  -17.05714,    691,    845,    1465,    1479    
  -17.42857,    690,    845,    1465,    1478    
  -17.54286,    689,    844,    1465,    1478    
  -17.94286,    689,    843,    1464,    1477    
  -17.77143,    689,    843,    1464,    1476    
  -17.88571,    688,    842,    1463,    1476    
  -17.40000,    688,    841,    1462,    1475    
  -17.08572,    688,    841,    1462,    1475    
  -16.54286,    688,    840,    1461,    1474    
  -16.40000,    688,    840,    1460,    1473    
  -15.94286,    688,    839,    1460,    1473    
  -15.62857,    687,    838,    1459,    1472    
  -16.22857,    687,    837,    1459,    1472    
  -15.45714,    687,    836,    1458,    1471    
  -15.74286,    686,    835,    1458,    1471    
  -15.31429,    686,    835,    1457,    1470    
  -15.25714,    686,    834,    1456,    1469    
  -14.40000,    686,    833,    1455,    1468    
  -14.51429,    685,    832,    1454,    1467    
  -13.51429,    685,    831,    1454,    1466    
  -13.40000,    684,    830,    1453,    1465    
  -12.34286,    684,    829,    1452,    1465    
  -11.28571,    683,    829,    1451,    1464    
  -10.94286,    683,    828,    1451,    1463    
  -9.91429,    683,    827,    1450,    1462    
  -9.45714,    683,    826,    1449,    1461    
  -8.77143,    683,    826,    1449,    1461    
  -8.08571,    682,    825,    1448,    1460    
  -7.22857,    682,    824,    1447,    1460    
  -5.97143,    681,    824,    1447,    1459    
  -4.88571,    681,    823,    1446,    1458    
  -2.94286,    681,    823,    1446,    1458    
  0.11429,    680,    822,    1445,    1457    
  2.82857,    679,    822,    1445,    1457    
  5.28571,    679,    821,    1445,    1457    
  8.97143,    678,    821,    1445,    1457    
  13.60000,    678,    821,    1445,    1456    
  16.77143,    677,    821,    1444,    1456    
  18.77143,    678,    823,    1444,    1455    
  20.11429,    678,    823,    1442,    1454    
  20.51429,    678,    824,    1443,    1454    
  22.28572,    678,    825,    1443,    1454    
  22.42857,    679,    827,    1443,    1455    
  23.74286,    680,    828,    1444,    1456    
  22.34286,    681,    830,    1445,    1457    
  23.22857,    682,    832,    1446,    1457    
  22.74286,    683,    833,    1448,    1460    
  22.02857,    684,    834,    1449,    1461    
  21.85714,    684,    835,    1451,    1463    
  20.60000,    685,    837,    1453,    1465    
  21.17143,    685,    838,    1455,    1467    
  20.37143,    686,    841,    1456,    1468    
  20.85714,    688,    842,    1458,    1470    
  20.42857,    689,    845,    1460,    1473    
  20.51429,    690,    846,    1462,    1474    
  20.82857,    691,    848,    1464,    1477    
  19.77143,    691,    849,    1466,    1479    
  19.74286,    691,    849,    1470,    1483    
