Unnamed: 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,d_Sensor 1,d_Sensor 2,d_Sensor 3,d_Sensor 4,timeTracker
4987,0.4949566875192114,0.5121173276225431,0.6333056233825003,0.6724914936068473,-0.0576169823942588,-0.08501706417431365,-0.6311696965615687,-0.8075015981603041,1572818496.180471
4988,0.4944118315544213,0.5113286928715624,0.6272067325741506,0.6657637339383321,-0.05748522429382548,-0.08473749322875644,-0.6284411239076815,-0.7818798454426671,1572818496.190897
4989,0.4938825330651899,0.5108623825307748,0.6210131303042024,0.6562615436742878,-0.05732438154685635,-0.08356823879585101,-0.626467379199017,-0.802469724506685,1572818496.201311
4990,0.4932446612781366,0.5099791674382909,0.6141084368578421,0.645379494589422,-0.05742042295108712,-0.08360987846702055,-0.6286345232450968,-0.839977072543191,1572818496.211705
4991,0.492746335029418,0.5092676370310885,0.6077198002004092,0.6395591392354137,-0.05719362627629784,-0.08316184025744836,-0.6276621633742953,-0.7935461339341485,1572818496.222154
4992,0.4922628469279869,0.5085808401754698,0.6024594567028759,0.634415668095603,-0.05694420751033846,-0.08266777799290774,-0.6209567762227115,-0.739962013924101,1572818496.232583
4993,0.4916712681091574,0.5079181439179438,0.5952642598690073,0.6278361012311069,-0.05693403379912588,-0.08211955032916439,-0.624825934928924,-0.7183887568486303,1572818496.243054
4994,0.4912172648204593,0.5072788887689823,0.5867355107928489,0.6218916798952141,-0.05663304821958305,-0.0815301201147562,-0.6361212179058401,-0.6915824106887585,1572818496.253508
4995,0.4905338013744734,0.5066623957654826,0.5818083415829476,0.6165391531095575,-0.05683032943915851,-0.08090340365220934,-0.625127507775798,-0.6606972131809126,1572818496.263935
4996,0.4899870951592917,0.506067972755314,0.5743131177724436,0.6110861097519076,-0.05672917698216961,-0.08023006286892168,-0.6318193108368796,-0.6365361324091973,1572818496.274408
4997,0.4894551129106128,0.5049353225830082,0.5605453410987821,0.5979319016072641,-0.05660293457230955,-0.08101168743567709,-0.6834132461497683,-0.7401280757215443,1572818496.284868
4998,0.4883308094733476,0.5041056331433235,0.554189157668184,0.589056801997742,-0.05759490055662845,-0.08088037119210569,-0.6717139009959112,-0.7570348622049895,1572818496.29574
4999,0.4877068925623686,0.5032996494725661,0.5497605817241056,0.5835771660325105,-0.05760845035916581,-0.08072520567538,-0.6416098229097018,-0.7092741147949082,1572818496.306457
5000,0.4872224078114014,0.502517302037864,0.546462593803488,0.5766922838721438,-0.05736261354838394,-0.08055757326342132,-0.5986521497217708,-0.6985171060925017,1572818496.316963
5001,0.4866294647489062,0.5018994474882152,0.5423341149712247,0.5717477947944158,-0.05735134027925731,-0.07999728797561223,-0.5676666279075576,-0.6592889330270754,1572818496.327397
5002,0.48617478216995,0.5010232995296673,0.5356624424181228,0.5686172965444939,-0.05706151669830885,-0.08009261382224891,-0.578622935208047,-0.5944144788617669,1572818496.337873
5003,0.4854898073145383,0.5001701555863439,0.5306488147281412,0.5640070255296955,-0.05722807297967774,-0.08011855416931898,-0.5637408677608394,-0.5627768126280357,1572818496.348392
5004,0.4848197350449402,0.4996210952424517,0.5260785381402721,0.561049807020416,-0.05735666019801416,-0.0794163710962788,-0.5454589069065663,-0.5083326613348446,1572818496.358941
5005,0.4844102903018913,0.4990924243148155,0.5230774084006836,0.5555053110553235,-0.05699137219076648,-0.07869299500088159,-0.5097127465843349,-0.5130300491952855,1572818496.369373
5006,0.4838923926323728,0.4985833869987978,0.520389220231751,0.5509579099452226,-0.05683278490196674,-0.07792268430899149,-0.4709488419185827,-0.4989412813438618,1572818496.379915
5007,0.4833889290221847,0.4978201723025826,0.513655996344799,0.5479454206757488,-0.05666434549502304,-0.07780596172499699,-0.4998839455925116,-0.4657051284982078,1572818496.390319
5008,0.4830205028406644,0.4973512098304878,0.5116643182939058,0.5452344759252289,-0.05624598651104176,-0.07698843749166953,-0.449111164386591,-0.432061189213406,1572818496.400705
5009,0.4823050291631351,0.496899945602794,0.508301545847574,0.5427905380501433,-0.05649074920870259,-0.07613475483889845,-0.4260235380668621,-0.3987165391236894,1572818496.411136
5010,0.4819642529235622,0.496332069476233,0.5031512890470808,0.5395402853589271,-0.0560166705389831,-0.07556882305117725,-0.4370869840672443,-0.3834001329843713,1572818496.421644
5011,0.4815158947867177,0.4959156234853762,0.4983098829819332,0.5375799793506714,-0.05575725880604153,-0.07465570186967199,-0.4412478517283788,-0.3523267571787636,1572818496.432084
5012,0.4810805887263781,0.4953835933458841,0.4948285582318191,0.5338262257582347,-0.05548141865126693,-0.0740438043510467,-0.4263961223801442,-0.3536281484274131,1572818496.442502
5013,0.48042237925631,0.4949994503013967,0.4921465385469443,0.527859199711378,-0.05563217981904737,-0.07307869852471537,-0.4036193016374366,-0.3844955288324945,1572818496.452925
5014,0.4800138989709531,0.4945008817757205,0.4902046327150289,0.5256505732401957,-0.05530532901789304,-0.07240202678612337,-0.3732873822214492,-0.3583304288425166,1572818496.463446
5015,0.4796177526150017,0.4940186560837609,0.4884466673716436,0.5216758001385254,-0.05497032429498163,-0.07171409523660668,-0.3431284909446437,-0.3619354631222874,1572818496.473851
5016,0.4791169535157603,0.493679320523748,0.4859140375033691,0.5154939667681605,-0.05482149822205376,-0.07066457996364149,-0.3271324382253274,-0.3919919971417602,1572818496.484436
5017,0.4785126400018034,0.4933527313580279,0.479897355148249,0.5140689347303525,-0.05488356882151096,-0.06960679438528385,-0.363996976733835,-0.3549843166249254,1572818496.494846
5018,0.4782710321701941,0.4927904702334809,0.4759348773145918,0.5108433276088832,-0.05428231422057313,-0.069174977063842,-0.3664335768934419,-0.3476933293745835,1572818496.505293
5019,0.4779230294208821,0.4923673760906522,0.4736402749138302,0.507845679973421,-0.05388157298652712,-0.06840272988799467,-0.3461231817625419,-0.339217859319952,1572818496.515694
5020,0.4775858024709582,0.4917129998855118,0.4706048681261441,0.5060139407531622,-0.05346276818221601,-0.06824188413593432,-0.3382621801301472,-0.3175229244732051,1572818496.526165
5021,0.4773722180227446,0.491319435425999,0.4696215837285808,0.504340657118874,-0.05281748900448933,-0.0674158367175623,-0.30651680464625,-0.2959571777157587,1572818496.536724
5022,0.4767193284505947,0.4906957863319126,0.4669651594147261,0.5019135311842535,-0.05300788126609621,-0.06720735610709534,-0.2990648177433515,-0.287149195220469,1572818496.547178
