Sensor 1,Sensor 2,Sensor 3,Sensor 4,d_Sensor 1,d_Sensor 2,d_Sensor 3,d_Sensor 4,Time
0.4884848484848485,0.4545454545454545,0.4545454545454545,0.4642424242424242,0.0,0.0,0.0,0.0,1907.6806550000001
0.4884848484848485,0.4521212121212121,0.4545454545454545,0.4666666666666667,0.0,-0.1179966775399147,0.0,0.1179966775399174,1907.690928
0.4787878787878788,0.4448250149742687,0.4496969696969697,0.4658559780947841,-0.3400046712801894,-0.3702065808493598,-0.1700023356400937,0.03906115286635928,1907.700434
0.4738343726069358,0.4411265586858202,0.4509222661396575,0.4569300693888812,-0.416106971596412,-0.3779472007891853,-0.06672919350278396,-0.2777381600699593,1907.709932
0.4708512483324631,0.4379086807955362,0.4516560175391214,0.4584389012441266,-0.3816433928266159,-0.366353272973595,-0.02117494296650095,-0.1002462359849004,1907.719446
0.4688661991413944,0.4357596171666911,0.4521440923371486,0.4594375823775236,-0.3351934613005744,-0.3342230777419238,-0.001462357035279815,-0.02198232522889755,1907.728832
0.4667308209652463,0.4327848313221339,0.451789591716061,0.4594311431334991,-0.308592211835898,-0.3303947387097032,-0.009647579658327153,-0.01519076803699953,1907.738239
0.461308105760981,0.4228784802703068,0.4515242380609416,0.4594263595389976,-0.3648227965219482,-0.4567694939550097,-0.01310755261952314,-0.01157393758617734,1907.74778
0.4604943095706778,0.4207921432631492,0.4513182255038792,0.4599750693011279,-0.302061433349051,-0.3943971194178333,-0.01420905631467984,0.001342210984147137,1907.758146
0.4593275575629049,0.4180558625021624,0.4511536897434737,0.4599153744135415,-0.2582658188444452,-0.360409239375796,-0.01434758617268628,0.0001294205666690243,1907.768976
0.4583792294015711,0.4173202000976032,0.4505718982021097,0.4598667754703589,-0.2214732805459589,-0.2967299850915739,-0.01924003684347155,-0.0005717893891243776,1907.779767
0.4571556648110269,0.4171734170198638,0.4500856129335353,0.4598264440246978,-0.1994696759633713,-0.2329865999405032,-0.02223156209685324,-0.0009932889207113246,1907.790483
0.4561223885470748,0.4166347447689463,0.4496733277403459,0.4597924373199027,-0.1798771875966283,-0.1908331419982428,-0.02387481549555642,-0.001242080969327615,1907.801385
0.454859474831603,0.4165648886860365,0.448963957671302,0.4587026495499823,-0.1684183913663565,-0.1507129492802154,-0.02775209782036708,-0.01141573030776605,1907.81249
0.4534064575372872,0.4150735588076586,0.4483460033199921,0.4580820309972379,-0.1660654619339979,-0.1521239142904529,-0.03120315712990391,-0.01706815340230169,1907.821959
0.4517909835195555,0.4134235300475313,0.4474879358801812,0.4572216650754685,-0.166709868443411,-0.155989386493997,-0.03641200169412899,-0.02444212895099059,1907.831421
0.4503563857246917,0.4119579845686701,0.4467253331730568,0.4567566153153932,-0.1648570042588013,-0.1558014056266872,-0.04018417897519422,-0.0268511459444165,1907.840891
0.4487665646476222,0.4103396998583362,0.4460437024861311,0.4549217462297488,-0.1653155111557283,-0.1579362952787231,-0.04284505439127692,-0.04220441976081598,1907.850297
0.4473348624553758,0.4085837685657744,0.4454312771828265,0.454623898558864,-0.164002932887453,-0.1613196117606383,-0.04459572212134148,-0.0411687438462582,1907.859708
0.4457543794476009,0.4069898702513967,0.4446176549127614,0.4540940830251294,-0.1641429059796705,-0.1619295254550749,-0.04762998440831488,-0.04246249455217868,1907.869256
0.4443149908954008,0.4063775760869866,0.4441276028475919,0.4536143400485259,-0.1620615044083068,-0.1518130568348955,-0.04761858359764201,-0.0427998781392477,1907.879579
